Subcontractor,Subcontractor ID,Project,Material Description,Quantity,Unit,Unit Price ($),Total Price ($),Source Document
Cornerstone Brickworks LLC,6F8ED272,Metro Commercial Center,Standard Red Face Brick (Modular),8500.0,Ea,1.4,11900.0,Masonry Proposal - Cornerstone Brickworks (1).pdf
Cornerstone Brickworks LLC,6F8ED272,Metro Commercial Center,8x8x16 Standard CMU Concrete Block,1200.0,Ea,3.8,4560.0,Masonry Proposal - Cornerstone Brickworks (1).pdf
Cornerstone Brickworks LLC,6F8ED272,Metro Commercial Center,Type S Masonry Mortar (80 lb bag),150.0,Ea,14.5,2175.0,Masonry Proposal - Cornerstone Brickworks (1).pdf
Cornerstone Brickworks LLC,6F8ED272,Metro Commercial Center,Precast Concrete Wall Caps (24-inch),75.0,LnFt,25.0,1875.0,Masonry Proposal - Cornerstone Brickworks (1).pdf
Cornerstone Brickworks LLC,6F8ED272,Metro Commercial Center,Steel Rebar (#4),500.0,LnFt,1.25,625.0,Masonry Proposal - Cornerstone Brickworks (1).pdf
Cornerstone Brickworks LLC,6F8ED272,Metro Commercial Center,Masonry Labor (Bricklaying & Block work),240.0,Hrs,92.0,22080.0,Masonry Proposal - Cornerstone Brickworks (1).pdf
Cornerstone Brickworks LLC,6F8ED272,Metro Commercial Center,"Equipment Rental (Mixer, Scaffolding)",1.0,Lump Sum,1800.0,1800.0,Masonry Proposal - Cornerstone Brickworks (1).pdf
Apex Masonry & Stonework,315D9C90,Metro Commercial Center,Standard Red Face Brick (Modular),8500.0,Ea,1.25,10625.0,Masonry Proposal - Apex Masonry.pdf
Apex Masonry & Stonework,315D9C90,Metro Commercial Center,8x8x16 Standard CMU Concrete Block,1200.0,Ea,3.5,4200.0,Masonry Proposal - Apex Masonry.pdf
Apex Masonry & Stonework,315D9C90,Metro Commercial Center,Type S Masonry Mortar (80 lb bag),150.0,Ea,12.0,1800.0,Masonry Proposal - Apex Masonry.pdf
Apex Masonry & Stonework,315D9C90,Metro Commercial Center,Precast Concrete Wall Caps (24-inch),75.0,LnFt,22.0,1650.0,Masonry Proposal - Apex Masonry.pdf
Apex Masonry & Stonework,315D9C90,Metro Commercial Center,Steel Rebar (#4),500.0,LnFt,1.1,550.0,Masonry Proposal - Apex Masonry.pdf
Apex Masonry & Stonework,315D9C90,Metro Commercial Center,Masonry Labor (Bricklaying & Block work),240.0,Hrs,85.0,20400.0,Masonry Proposal - Apex Masonry.pdf
Apex Masonry & Stonework,315D9C90,Metro Commercial Center,"Equipment Rental (Mixer, Scaffolding)",1.0,Lump Sum,1500.0,1500.0,Masonry Proposal - Apex Masonry.pdf
Vanguard Commercial Builders,F51D6382,Metro Commercial Center,12x24 inch Matte Porcelain Floor Tile (Slate Grey),1500.0,SqFt,9.25,13875.0,Construction Proposal Template (2).pdf
Vanguard Commercial Builders,F51D6382,Metro Commercial Center,Sherwin-Williams ProMar 200 Interior Latex Paint,25.0,Gal,52.0,1300.0,Construction Proposal Template (2).pdf
Vanguard Commercial Builders,F51D6382,Metro Commercial Center,5/8 inch Sheetrock Drywall Panels (4x8),80.0,Ea,24.5,1960.0,Construction Proposal Template (2).pdf
Vanguard Commercial Builders,F51D6382,Metro Commercial Center,2x4 LED Flat Panel Troffer Light Fixtures,12.0,Ea,95.0,1140.0,Construction Proposal Template (2).pdf
Vanguard Commercial Builders,F51D6382,Metro Commercial Center,"Demolition, Installation, and Painting Labor",160.0,Hrs,92.0,14720.0,Construction Proposal Template (2).pdf
Titan Builders LLC,4B46C958,Metro Commercial Center,12x24 inch Matte Porcelain Floor Tile (Slate Grey),1500.0,SqFt,8.5,12750.0,Construction Proposal Template (1).pdf
Titan Builders LLC,4B46C958,Metro Commercial Center,Sherwin-Williams ProMar 200 Interior Latex Paint,25.0,Gal,45.0,1125.0,Construction Proposal Template (1).pdf
Titan Builders LLC,4B46C958,Metro Commercial Center,5/8 inch Sheetrock Drywall Panels (4x8),80.0,Ea,22.0,1760.0,Construction Proposal Template (1).pdf
Titan Builders LLC,4B46C958,Metro Commercial Center,2x4 LED Flat Panel Troffer Light Fixtures,12.0,Ea,110.0,1320.0,Construction Proposal Template (1).pdf
Titan Builders LLC,4B46C958,Metro Commercial Center,"Demolition, Installation, and Painting Labor",160.0,Hrs,85.0,13600.0,Construction Proposal Template (1).pdf
